MESH_ID	Dict_MESH
C000604661	{'C000604661': 0}
C000656824	{'C000656824': 0}
C000656825	{'C000656825': 0}
C000656904	{'C000656904': 0}
C000656907	{'C000656907': 0}
C000656924	{'C000656924': 0}
C000711512	{'C000711512': 0}
C000719188	{'C000719188': 0}
C000719189	{'C000719189': 0}
C000719193	{'C000719193': 0}
C000719207	{'C000719207': 0}
C000719208	{'C000719208': 0}
C000719212	{'C000719212': 0}
C000719220	{'C000719220': 0}
C000721270	{'C000721270': 0}
C000721827	{'C000721827': 0}
C000721848	{'C000721848': 0}
C000726607	{'C000726607': 0}
C000726608	{'C000726608': 0}
C018549	{'C018549': 0}
C020804	{'C020804': 0}
C022745	{'C022745': 0}
C029443	{'C029443': 0}
C086400	{'C086400': 0}
C428439	{'C428439': 0}
C531609	{'C531609': 0}
C531616	{'C531616': 0}
C531619	{'C531619': 0}
C531621	{'C531621': 0}
C531633	{'C531633': 0}
C531699	{'C531699': 0}
C531784	{'C531784': 0}
C531835	{'C531835': 0}
C531844	{'C531844': 0}
C535299	{'C535299': 0}
C535317	{'C535317': 0}
C535326	{'C535326': 0}
C535332	{'C535332': 0}
C535341	{'C535341': 0}
C535348	{'C535348': 0}
C535358	{'C535358': 0}
C535393	{'C535393': 0}
C535425	{'C535425': 0}
C535434	{'C535434': 0}
C535456	{'C535456': 0}
C535483	{'C535483': 0}
C535488	{'C535488': 0}
C535509	{'C535509': 0}
C535516	{'C535516': 0}
C535517	{'C535517': 0}
C535526	{'C535526': 0}
C535531	{'C535531': 0}
C535575	{'C535575': 0}
C535627	{'C535627': 0}
C535630	{'C535630': 0}
C535646	{'C535646': 0}
C535668	{'C535668': 0}
C535669	{'C535669': 0}
C535679	{'C535679': 0}
C535686	{'C535686': 0}
C535700	{'C535700': 0}
C535718	{'C535718': 0}
C535720	{'C535720': 0}
C535735	{'C535735': 0}
C535758	{'C535758': 0}
C535788	{'C535788': 0}
C535800	{'C535800': 0}
C535802	{'C535802': 0}
C535811	{'C535811': 0}
C535817	{'C535817': 0}
C535830	{'C535830': 0}
C535832	{'C535832': 0}
C535840	{'C535840': 0}
C535841	{'C535841': 0}
C535842	{'C535842': 0}
